Fri Nov 29 23:17:59 2024    profile_output

         10015535 function calls (9984484 primitive calls) in 17.521 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      480    0.001    0.000    0.002    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:1000(set_horizontalalignment)
     1209    0.001    0.000    0.002    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:284(get_rotation)
      680    0.001    0.000    0.002    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:75(_scale_dashes)
        2    0.000    0.000    0.002    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\collections.py:2165(draw)
        6    0.000    0.000    0.002    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\ipykernel\iostream.py:278(_really_send)
     7311    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
      300    0.002    0.000    0.002    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       22    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\path.py:413(iter_bezier)
       15    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2683(_update_offset_text_position)
       16    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_arraysetops_impl.py:865(_in1d)
        6    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\zmq\sugar\socket.py:703(send_multipart)
       50    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:419(_get_text2_transform)
  370/196    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2387(_invalidate_internal)
        4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:788(set_subplotspec)
     1188    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:318(__call__)
    11390    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:173(_deepcopy_atomic)
        1    0.000    0.000    0.001    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_axes.py:5676(imshow)
       21    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:2546(_process_unit_info)
      257    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:2877(autoscale_view)
      320    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:743(set_style)
     1236    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2265(get_affine)
      108    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:998(set_alpha)
        2    0.000    0.000    0.001    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_tight_bbox.py:8(adjust_bbox)
      245    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:1217(set_rotation)
       25    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:3132(__array_wrap__)
     5153    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1939(get_matrix)
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:2465(__call__)
       12    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1874(apply_aspect)
      309    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1408(set_dash_capstyle)
        4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:156(_get_draw_artists)
      364    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:967(_get_markerfacecolor)
        6    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2581(_init)
      214    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1783(__array__)
      309    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1128(set_linewidth)
      134    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1802(convert_units)
        3    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2712(set_ticks_position)
     1636    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\_linalg.py:192(_assert_stacked_2d)
       50    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:966(get_xaxis_text2_transform)
        1    0.000    0.000    0.001    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:1147(_reset_locator_formatter_scale)
      313    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:536(_format_maybe_minus_and_locale)
       16    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:1871(masked_where)
      191    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:3278(__getitem__)
        7    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:447(__init__)
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:2435(_call_as_normal)
       24    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1381(<genexpr>)
       24    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\jupyter_client\session.py:92(json_packer)
      722    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:181(__init__)
     1200    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\linalg\_linalg.py:145(_complexType)
        5    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      790    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\__init__.py:1303(_val_or_rc)
       18    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_arraysetops_impl.py:614(intersect1d)
     2819    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\enum.py:1145(__new__)
       40    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\zmq\sugar\attrsettr.py:43(__getattr__)
      6/4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\gridspec.py:648(get_position)
      122    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:2541(_vectorize_call)
     3038    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.001    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:1565(_get_renderer)
        7    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:559(set_useMathText)
        5    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:738(__init__)
        8    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:2936(handle_single_axis)
       24    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:183(dumps)
     6975    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:707(get_size)
      464    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2232(transform_non_affine)
     4800    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:631(_transpose_dispatcher)
      425    0.001    0.000    0.001    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1074    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     1332    0.001    0.000    0.001    0.000 {method 'conj' of 'numpy.ndarray' objects}
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:713(get_file)
     5436    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_twodim_base_impl.py:243(_diag_dispatcher)
      300    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backends\backend_agg.py:42(get_hinting_flag)
        5    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1518(_set_title_offset_trans)
      660    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:914(set_foreground)
    70/38    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\units.py:164(get_converter)
      320    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:756(set_variant)
     6895    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:662(get_family)
       24    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:183(encode)
        6    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\collections.py:894(update_scalarmappable)
     1231    0.001    0.000    0.001    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
    20/18    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2314(setter)
       80    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:1925(scale_range)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1070(set_drawstyle)
       41    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:215(connect)
       54    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:789(frozen)
      144    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_shape_base_impl.py:518(expand_dims)
       31    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:1278(_extend_lower)
     4189    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\artist.py:838(get_visible)
      131    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:59(_any)
        3    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\collections.py:1985(set_array)
      105    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:1184(set_position)
     1231    0.001    0.000    0.001    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
       20    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\zmq\eventloop\zmqstream.py:663(_rebuild_io_state)
     5031    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1049(get_points)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1216(set_markeredgecolor)
       24    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:205(iterencode)
       22    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\path.py:347(iter_segments)
        3    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cm.py:434(set_array)
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:871(get_math_fontfamily)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1236(set_markerfacecoloralt)
      315    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:1099(get_default_size)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:505(set_pickradius)
      6/4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\gridspec.py:144(get_grid_positions)
        7    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2865(__init__)
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:678(get_style)
       53    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:756(_set_tickleft)
      564    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
       66    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:782(_convert_units)
      325    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_shape_base_impl.py:629(_column_stack_dispatcher)
      134    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\units.py:56(_is_natively_supported)
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:684(get_variant)
       36    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_arraysetops_impl.py:145(unique)
       32    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:350(_broadcast_to)
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:690(get_weight)
       15    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1806(transform_path)
       26    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1744(update_units)
        7    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:1997(__init__)
        4    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1072(_update_transScale)
      313    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:246(fix_minus)
      334    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:769(set_weight)
       80    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
      944    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:198(<lambda>)
       16    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1129(_set_position)
     6595    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\font_manager.py:699(get_stretch)
     1188    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1988(_format_with_dict)
        7    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:2057(set_params)
       24    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:229(_connect_picklable)
       17    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:4364(get_children)
       38    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:394(set_facecolor)
       40    0.001    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\zmq\sugar\attrsettr.py:66(_get_attr_opt)
      674    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
     1604    0.001    0.000    0.001    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
       40    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:2987(ptp)
        2    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\Image.py:652(_ensure_mutable)
        2    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\PIL\Image.py:647(_copy)
        9    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:931(update_from_data_xy)
     3874    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\figure.py:2766(_get_dpi)
       22    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\formatters.py:376(lookup)
      239    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:1320(set_usetex)
        2    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\_tight_bbox.py:39(restore_bbox)
       26    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2787(get_transformed_path_and_affine)
       62    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1097(__init__)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1376(set_solid_joinstyle)
       38    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:387(_set_facecolor)
     1967    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
        2    0.001    0.000    0.001    0.000 {method 'copy' of 'ImagingCore' objects}
  498/496    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2609(get_matrix)
      176    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\getlimits.py:692(__init__)
       66    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2594(__init__)
       54    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:235(frozen)
      971    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:1903(_str_equal)
      400    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\numeric.py:2443(<genexpr>)
      206    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\text.py:1044(set_fontfamily)
      255    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:132(__getstate__)
       71    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:89(_wrapreduction_any_all)
       36    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_arraysetops_impl.py:344(_unique1d)
       50    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\markers.py:770(_set_tickup)
      361    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\traitlets\traitlets.py:676(__get__)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1360(set_dash_joinstyle)
       10    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:1729(set)
      104    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\getlimits.py:618(tiny)
       80    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:51(_sum)
       23    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colors.py:416(to_rgba_array)
     3550    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:5077(meshgrid)
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:2472(_get_ufunc_and_otypes)
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:5618(append)
       31    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\colorbar.py:1283(_extend_upper)
       70    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\transforms.py:2318(get_matrix)
        3    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axes\_base.py:1184(_gen_axes_patch)
       40    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:239(_ptp)
      100    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:3666(round)
     4812    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\copy.py:103(_copy_immutable)
     1541    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1791    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        2    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:690(_draw_disabled)
      236    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\backend_bases.py:934(set_joinstyle)
      400    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\cbook.py:1914(_str_lower_equal)
        6    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\jupyter_client\session.py:675(sign)
       32    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\ma\core.py:1593(make_mask)
     1172    0.001    0.000    0.001    0.000 {built-in method math.cos}
       20    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\zmq\eventloop\zmqstream.py:686(_update_handler)
        1    0.000    0.000    0.001    0.001 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\image.py:959(set_extent)
     1020    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     1727    0.001    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_ufunc_config.py:431(__init__)
      309    0.000    0.000    0.001    0.000 c:\Users\paulg\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\lines.py:1424(set_solid_capstyle)
       22    0.000    0.000    0.001    0.000 C:\Users\paulg\AppData\Roaming\Python\Python313\site-packages\IPython\core\formatters.py:399(lookup_by_type)
      300    0.001    0.000    0.001    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
